OrderID,OrderDate,CustomerID,CustomerName,Region,City,ProductCategory,ProductName,Quantity,UnitPrice,Discount,Sales,Cost,Profit,SalesPerson
1,2024-04-18,CUST1279,Bhuvana,West,Mumbai,Electronics,Laptop,4,4839,0.09,17613.96,14669.02,2944.94,Kavitha
2,2024-03-29,CUST1285,Vimal,North,Coimbatore,Furniture,Sofa,3,1830,0.06,5160.6,4439.38,721.22,Suresh
3,2023-07-03,CUST1164,Kiran,East,Pune,Clothing,T-Shirt,4,36719,0.12,129250.88,109418.66,19832.22,Suresh
4,2024-11-27,CUST1204,Priya,East,Chennai,Electronics,Laptop,8,33178,0.07,246844.32,218951.33,27892.99,Arjun
5,2023-02-28,CUST1033,Meena,East,Bangalore,Sports,Yoga Mat,5,12350,0.03,59897.5,53755.9,6141.6,Rekha
6,2023-12-04,CUST1456,Ramesh,North,Bangalore,Electronics,Mobile,10,32553,0.1,292977.0,239944.1,53032.9,Manoj
7,2023-12-18,CUST1205,Priya,East,Mumbai,Sports,Dumbbells,6,29710,0.01,176477.4,153320.84,23156.56,Deepa
8,2024-10-05,CUST1175,Divya,West,Delhi,Sports,Football,2,6058,0.11,10783.24,9439.56,1343.68,Arjun
9,2023-05-31,CUST1067,Anitha,North,Hyderabad,Sports,Yoga Mat,2,57743,0.06,108556.84,96844.56,11712.28,Deepa
10,2024-02-22,CUST1150,Bhuvana,East,Chennai,Grocery,Cooking Oil,7,44849,0.03,304524.71,232025.9,72498.81,Naveen
11,2024-02-09,CUST1081,Ramesh,South,Coimbatore,Sports,Football,7,56216,0.13,342355.44,242590.55,99764.89,Suresh
12,2023-03-12,CUST1284,Ravi,South,Mumbai,Electronics,Smartwatch,5,56908,0.1,256086.0,179869.42,76216.58,Deepa
13,2024-01-03,CUST1140,Priya,South,Mumbai,Furniture,Cupboard,3,6112,0.0,18336.0,14219.08,4116.92,Manoj
14,2023-03-15,CUST1135,Suresh,East,Pune,Sports,Yoga Mat,6,1532,0.07,8548.56,6014.17,2534.39,Rekha
15,2023-08-06,CUST1046,Bhuvana,North,Kolkata,Clothing,Jeans,1,34077,0.04,32713.92,29215.06,3498.86,Kavitha
16,2023-01-25,CUST1203,Vimal,East,Hyderabad,Grocery,Rice Bag,5,25103,0.14,107942.9,91306.92,16635.98,Arjun
17,2024-04-13,CUST1162,Karthik,North,Delhi,Electronics,Tablet,10,57322,0.01,567487.8,428302.86,139184.94,Rekha
18,2024-09-10,CUST1010,Suresh,East,Pune,Sports,Football,9,17328,0.0,155952.0,135455.28,20496.72,Rekha
19,2023-11-24,CUST1454,Ramesh,South,Mumbai,Grocery,Cooking Oil,10,17768,0.14,152804.8,114109.15,38695.65,Naveen
20,2024-05-16,CUST1350,Ramesh,West,Kolkata,Furniture,Sofa,4,39374,0.1,141746.4,115265.74,26480.66,Deepa
21,2024-03-11,CUST1027,Arul,South,Coimbatore,Clothing,Jeans,2,45684,0.0,91368.0,73649.27,17718.73,Rekha
22,2024-08-11,CUST1442,Ramesh,South,Coimbatore,Clothing,Shirt,9,31352,0.09,256772.88,226562.25,30210.63,Rekha
23,2024-04-17,CUST1184,Saranya,West,Pune,Grocery,Cooking Oil,2,47164,0.1,84895.2,71584.66,13310.54,Deepa
24,2023-11-12,CUST1259,Anitha,West,Mumbai,Electronics,Mobile,5,40664,0.15,172822.0,126529.95,46292.05,Kavitha
25,2024-09-04,CUST1068,Anitha,North,Hyderabad,Electronics,Laptop,4,59231,0.14,203754.64,159715.81,44038.83,Manoj
26,2024-09-12,CUST1365,Suresh,East,Hyderabad,Clothing,Jacket,8,36045,0.07,268174.8,224214.96,43959.84,Naveen
27,2023-02-06,CUST1423,Suresh,North,Hyderabad,Sports,Dumbbells,8,49713,0.05,377818.8,291854.16,85964.64,Kavitha
28,2024-10-09,CUST1212,Ramya,South,Mumbai,Clothing,Shirt,7,53172,0.07,346149.72,288878.45,57271.27,Naveen
29,2024-12-03,CUST1040,Vimal,South,Delhi,Sports,Yoga Mat,3,10158,0.09,27731.34,21981.77,5749.57,Naveen
30,2023-12-07,CUST1403,Ramya,North,Delhi,Furniture,Sofa,4,34458,0.04,132318.72,108160.36,24158.36,Naveen
31,2023-01-18,CUST1108,Ramya,East,Bangalore,Furniture,Bed,5,8763,0.05,41624.25,31750.68,9873.57,Arjun
32,2023-12-26,CUST1321,Ravi,East,Mumbai,Grocery,Rice Bag,3,43699,0.14,112743.42,92250.76,20492.66,Naveen
33,2024-12-20,CUST1199,Vijay,North,Delhi,Clothing,T-Shirt,4,56469,0.02,221358.48,164883.03,56475.45,Deepa
34,2023-06-01,CUST1215,Karthik,East,Pune,Sports,Tennis Racket,7,53146,0.09,338540.02,254038.46,84501.56,Arjun
35,2024-08-09,CUST1403,Ramya,West,Hyderabad,Furniture,Cupboard,9,14246,0.1,115392.6,86909.2,28483.4,Manoj
36,2024-12-14,CUST1059,Meena,West,Pune,Sports,Cricket Bat,2,24390,0.01,48292.2,38964.19,9328.01,Deepa
37,2024-03-26,CUST1304,Anitha,East,Hyderabad,Furniture,Cupboard,5,25917,0.01,128289.15,104830.36,23458.79,Arjun
38,2024-01-29,CUST1329,Bhuvana,South,Mumbai,Electronics,Tablet,4,48627,0.07,180892.44,134665.03,46227.41,Manoj
39,2024-03-09,CUST1219,Ramesh,East,Delhi,Sports,Football,7,57109,0.01,395765.37,296311.0,99454.37,Arjun
40,2024-03-15,CUST1314,Anitha,East,Mumbai,Sports,Football,4,12733,0.15,43292.2,34778.42,8513.78,Naveen
41,2023-12-25,CUST1174,Karthik,North,Hyderabad,Grocery,Cooking Oil,1,10765,0.11,9580.85,7773.51,1807.34,Suresh
42,2024-09-05,CUST1051,Meena,North,Mumbai,Sports,Tennis Racket,9,10837,0.01,96557.67,83469.61,13088.06,Suresh
43,2023-03-01,CUST1121,Priya,South,Coimbatore,Electronics,Headphones,2,14761,0.07,27455.46,23017.39,4438.07,Arjun
44,2024-08-31,CUST1274,Meena,West,Kolkata,Sports,Dumbbells,5,57635,0.05,273766.25,200892.79,72873.46,Manoj
45,2024-06-29,CUST1411,Arul,West,Hyderabad,Electronics,Tablet,3,40739,0.05,116106.15,92001.26,24104.89,Suresh
46,2024-07-12,CUST1018,Meena,West,Pune,Electronics,Smartwatch,8,53027,0.04,407247.36,291646.1,115601.26,Deepa
47,2023-01-04,CUST1029,Anitha,East,Chennai,Electronics,Smartwatch,4,2046,0.02,8020.32,6519.56,1500.76,Suresh
48,2024-04-28,CUST1472,Vimal,East,Pune,Electronics,Tablet,4,27189,0.09,98967.96,87167.76,11800.2,Rekha
49,2024-04-25,CUST1224,Kiran,North,Delhi,Electronics,Smartwatch,3,51100,0.05,145635.0,118265.58,27369.42,Naveen
50,2024-02-13,CUST1402,Kiran,North,Bangalore,Sports,Tennis Racket,2,11792,0.03,22876.48,20364.36,2512.12,Deepa
51,2023-09-18,CUST1249,Kiran,East,Coimbatore,Furniture,Sofa,2,48120,0.09,87578.4,73509.92,14068.48,Naveen
52,2024-11-06,CUST1270,Arul,North,Delhi,Grocery,Biscuits,5,9402,0.04,45129.6,31750.67,13378.93,Deepa
53,2024-05-01,CUST1118,Vijay,South,Kolkata,Electronics,Tablet,5,28876,0.0,144380.0,118446.67,25933.33,Suresh
54,2024-05-14,CUST1234,Kiran,South,Chennai,Furniture,Chair,1,34427,0.1,30984.3,25573.84,5410.46,Suresh
55,2023-07-27,CUST1004,Anitha,East,Delhi,Electronics,Headphones,7,35110,0.09,223650.7,194345.93,29304.77,Arjun
56,2024-05-16,CUST1145,Anitha,South,Delhi,Electronics,Smartwatch,3,11919,0.04,34326.72,27983.75,6342.97,Manoj
57,2023-04-03,CUST1393,Karthik,North,Kolkata,Grocery,Rice Bag,6,45655,0.13,238319.1,211035.46,27283.64,Rekha
58,2023-01-18,CUST1296,Bhuvana,East,Bangalore,Electronics,Headphones,10,55701,0.13,484598.7,364136.19,120462.51,Naveen
59,2024-10-28,CUST1047,Bhuvana,North,Mumbai,Furniture,Chair,10,34516,0.07,320998.8,269503.61,51495.19,Deepa
60,2023-05-22,CUST1041,Ramya,East,Delhi,Grocery,Snacks Pack,1,32613,0.15,27721.05,22178.53,5542.52,Kavitha
61,2024-07-18,CUST1139,Vijay,North,Delhi,Grocery,Biscuits,5,49846,0.09,226799.3,161094.72,65704.58,Rekha
62,2023-06-11,CUST1251,Vimal,North,Mumbai,Grocery,Rice Bag,6,47431,0.12,250435.68,180328.93,70106.75,Kavitha
63,2024-08-12,CUST1466,Ramesh,South,Pune,Grocery,Soft Drink,10,1081,0.05,10269.5,9074.94,1194.56,Naveen
64,2023-04-22,CUST1086,Ramesh,East,Pune,Clothing,Jeans,3,35475,0.13,92589.75,72429.65,20160.1,Manoj
65,2024-01-05,CUST1401,Priya,West,Kolkata,Electronics,Headphones,4,40738,0.13,141768.24,127525.5,14242.74,Suresh
66,2023-06-12,CUST1168,Saranya,North,Delhi,Furniture,Cupboard,10,23373,0.11,208019.7,154084.64,53935.06,Manoj
67,2023-12-31,CUST1229,Vijay,North,Kolkata,Grocery,Soft Drink,8,36131,0.03,280376.56,234160.87,46215.69,Arjun
68,2023-09-02,CUST1279,Ravi,North,Delhi,Sports,Football,5,43963,0.03,213220.55,174465.64,38754.91,Rekha
69,2023-12-30,CUST1401,Bhuvana,West,Pune,Sports,Tennis Racket,9,8003,0.04,69145.92,52906.17,16239.75,Rekha
70,2024-03-14,CUST1336,Ramesh,North,Pune,Furniture,Table,9,37306,0.07,312251.22,222035.31,90215.91,Kavitha
71,2024-03-14,CUST1173,Kiran,North,Hyderabad,Clothing,T-Shirt,8,50922,0.1,366638.4,272758.39,93880.01,Kavitha
72,2024-05-28,CUST1137,Suresh,West,Pune,Sports,Cricket Bat,7,26529,0.09,168989.73,129245.74,39743.99,Suresh
73,2023-04-27,CUST1207,Ramya,West,Hyderabad,Sports,Football,4,1034,0.08,3805.12,3280.12,525.0,Rekha
74,2023-06-08,CUST1451,Vimal,South,Delhi,Electronics,Tablet,9,21515,0.03,187825.95,157485.9,30340.05,Kavitha
75,2023-07-16,CUST1108,Anitha,East,Kolkata,Electronics,Laptop,7,16215,0.11,101019.45,87070.44,13949.01,Manoj
76,2024-07-29,CUST1287,Anitha,North,Pune,Grocery,Rice Bag,9,1722,0.08,14258.16,10793.48,3464.68,Deepa
77,2024-01-19,CUST1484,Priya,North,Pune,Furniture,Chair,8,44458,0.03,344994.08,299103.47,45890.61,Arjun
78,2023-04-14,CUST1332,Anitha,West,Bangalore,Clothing,Shirt,1,14569,0.04,13986.24,10778.12,3208.12,Rekha
79,2024-06-24,CUST1153,Vijay,East,Coimbatore,Electronics,Laptop,8,30969,0.15,210589.2,157445.39,53143.81,Rekha
80,2023-07-18,CUST1176,Kiran,South,Hyderabad,Electronics,Laptop,9,46212,0.08,382635.36,304077.84,78557.52,Deepa
81,2023-03-16,CUST1211,Ravi,North,Pune,Clothing,Dress,2,12321,0.15,20945.7,14837.14,6108.56,Arjun
82,2023-12-19,CUST1164,Meena,North,Hyderabad,Sports,Yoga Mat,7,57997,0.05,385680.05,323254.09,62425.96,Arjun
83,2023-02-10,CUST1325,Priya,South,Coimbatore,Clothing,Jacket,5,3212,0.07,14935.8,10460.93,4474.87,Suresh
